label,sentence
1,bradley left .
1,stacy left tucson .
1,john left his wife .
0,i want bradley that left .
0,john thinks that left .
1,that john will leave is likely .
1,it is likely that john will leave .
1,the policeman kissed the puppy .
1,the puppy was kissed by the policeman .
1,the puppy was kissed .
1,john laughed .
1,the audience laughed .
0,bill is likely john to hit .
0,it was kissed the puppy .
1,jennifer swatted steve .
1,steve swatted jennifer .
1,she swatted him .
1,he swatted her .
1,i walk .
1,you walk .
1,it is likely that patrick left .
1,that patrick left is likely .
0,patrick is likely that left .
0,it is likely patrick to leave .
0,patrick to leave is likely .
1,patrick is likely to leave .
1,he kissed her .
1,she was kissed .
0,she was kissed him .
0,it was kissed her .
1,stacy danced at the palace .
1,stacy arrived at the palace .
0,there danced three men at the palace .
0,there arrived three men at the palace .
0,it seems sonny to love cher .
0,bill was bitten the dog .
0,donny is likely that left .
1,the shah slept in a bed .
1,the bed was slept in by the shah .
1,dust fell on the bed .
0,the bed was fallen on by the dust .
1,bill was hit by the baseball .
0,was been hit by bill by the baseball .
1,bill gave sue the book .
1,sue was given the book by bill .
0,the book was been given by bill by sue .
1,i cut the soft bread .
1,the soft bread cuts easily .
1,the boat sank .
1,the torpedo sank the boat .
1,the captain sank the boat .
1,the captain sank the boat with a torpedo .
0,was sunk by the boat .
1,the boat was sunk by the captain with a torpedo .
1,i sent a book to louis .
1,i sent louis a book .
1,a book was sent to louis .
0,louis was sent a book to .
0,to louis was sent a book .
1,louis was sent a book .
0,a book was sent louis .
1,john seems to have left .
1,bill wants john to leave .
1,john wants bill to leave .
1,john wants him to leave .
1,john believes him to have been at the game .
1,he is believed by john to have been at the game .
1,he is believed to have been at the game .
1,becky bought the syntax book .
1,what did becky buy ?
1,what did stacy say becky bought ?
1,matt kissed her .
1,whom did matt kiss ?
1,i wonder who jim kissed .
1,the fact that i like strawberry flavored milk shakes is none of your business .
1,she made the outrageous claim that tuna flavored milkshakes are good for you .
1,i asked where you found it .
1,i wo n't reveal the place .
1,i asked who she kissed .
1,i know several people who she kissed .
1,i know several people she kissed .
1,i know several people that she kissed .
1,i know i bought the book you recommended .
1,i know i bought the book that you recommended .
1,the guy who is wearing the red hat just hit me !
1,"that guy , who i think might be drunk , just hit me !"
0,"the man , who i think might be drunk , that is escaping hit me ."
1,what did bill claim that he read ?
1,what do you think matt kissed ?
0,what did bill make the claim that he read in the syntax book ?
0,which cake did you see the man who baked ?
1,i wonder what john bought .
1,how do you think john bought the sweater ?
0,how do you wonder what john bought ?
1,how do you think john bought what ?
1,i wonder what john bought how .
1,i wonder what john kissed .
0,who did you wonder what kissed ?
1,i asked what john kissed .
1,that the police would arrest several rioters was a certainty .
1,i liked mary and john .
0,who did you like and john ?
1,i ate some popcorn and drank some soda .
0,what did you eat some popcorn and drink ?
1,who loves who ?
1,who loves whom ?
1,shelly loves who ?
1,fred saw a spaceship in the linguistics lounge ?
1,what is bothering you ?
1,who has seen my snorkel ?
1,how was the plot discovered by the authorities ?
1,which animals appear to have lost their collars ?
1,what did jean think was likely to have been stolen ?
1,car sales have surprised the stockbrokers .
1,can you find the light bulb store ?
1,john was bitten by an advertising executive .
1,it is likely that tami will leave new york .
1,tami is likely to leave new york .
1,lucy seems to have been mugged .
1,what did you buy at the supermarket ?
1,what is it likely for beth to have bought at the supermarket ?
1,what is likely to have been bought at the supermarket ?
1,the trail we walked today was built by slave labor .
1,bill is always complaining about the guys who work near him .
1,the cost of bagels that are imported from iceland surprised the teacher who mike hired last week .
0,josh gave clay carefully a book .
1,josh gave clay a book carefully .
1,briana showed justin himself .
0,briana showed himself justin .
1,i blew up the building .
1,i blew the building up .
0,i blew up it .
1,i blew it up .
1,susan sent the package to heidi .
1,i asked mike if he had seen the yeti .
1,i bought some flowers for manuel .
1,i bought manuel some flowers .
1,jean is likely to leave .
1,jean is reluctant to leave .
0,jean is likely .
1,jean wants brian to leave .
1,jean persuaded brian to leave .
1,that jean left is likely .
1,it is likely that jean left .
0,is likely jean to leave .
0,it is reluctant that jean left .
0,that jean left is reluctant .
1,jean is likely to dance .
1,the cat is out of the bag .
1,the cat thinks that he is out of the bag .
0,is likely to jean dance .
1,it is likely that jean will dance .
1,jean wants robert .
1,jean wants him .
0,i want she to dance .
1,i want jean .
1,i want jean to dance .
1,jean wants herself to dance .
1,jean is reluctant .
1,"to find a new mate , go to a dating service ."
1,jean tried to behave .
1,robert knows that it is essential to be well behaved .
1,robert knows that it is essential .
1,robert knows it is essential that he is well behaved .
1,louis begged kate to leave .
0,louis begged kate that she leave her job .
0,louis begged kate to shave himself .
1,louis begged kate that he be allowed to shave himself .
1,to behave oneself in public is expected .
1,robert knew that it was necessary to behave himself .
1,mike expected greg incorrectly to take out the trash .
1,the boys do n't all want to leave .
1,robert is eager to do his homework .
1,jean seems to be in a good mood .
1,rosemary tried to get a new car .
1,susan begged bill to let her sing in the concert .
1,susan begged to be allowed to sing in the concert .
1,christina is ready to leave .
1,fred was believed to have wanted to try to dance .
1,susan consented to try to seem to have been kissed .
1,alan told me who wanted to seem to be invincible .
1,what did john want to eat ?
1,this book is easy to read .
1,john is easy to please .
1,to improve myself is a goal for next year .
1,to improve yourself would be a good idea .
1,"to improve himself , bruce should consider therapy ."
1,"to improve herself , jane went to a health spa ."
1,kathleen really hates her job .
1,my brother likes collecting jazz records .
1,martina is deathly afraid of spiders .
1,that kind of behavior annoys me .
1,the news pleased the students .
1,horror films disturb milo .
1,the exhibition really impressed the critics .
1,kathleen hates those pictures of herself .
1,the children admired photos of each other .
1,sandra hates reading about herself in the tabloids .
1,pictures of himself always disturb milo .
1,to be able to buy myself a ticket to france would be a dream .
1,reading about herself in the tabloids always annoys sandra .
1,brandon has been reading more novels than he has short stories .
1,robin will eat cabbage but she wo n't ice cream .
1,"john could bake something , but i 'm not sure what ."
1,frank will eat an apple and morgan will too .
1,frank will eat an apple and morgan will eat an apple too .
1,calvin will strike himself .
1,calvin will strike himself and otto will too .
1,calvin will strike himself and otto will strike himself too .
1,calvin has dated every girl who jeff has .
1,calvin has dated every girl who jeff has dated .
1,"i know which guys you 've dated , but i do n't know which guys you have n't ."
0,which language do you want to hire someone who speaks ?
0,"they want to hire someone who speaks a balkan language , but i do n't know which language ."
1,"calvin will fire someone today , but i do n't know who ."
1,peter was talking with someone but i do n't know who .
1,brandon read every book that megan did .
1,every book that megan did brandon read too .
1,darin has eaten more squid than john has octopus .
1,what does calvin like .
1,alexandra wants to catch a fish and sylvia does too .
1,calvin admired himself in the mirror .
0,chris said that himself was sad .
1,chris wants himself to win .
1,which pictures of himself did chris see in the gallery ?
1,chris liked which pictures of himself ?
1,which pictures of himself did chris like ?
0,heidi believes bill 's description of herself .
1,heidi thinks that she has won .
1,heidi thinks that pictures of herself are beautiful .
1,heidi gave a present to herself .
1,the army 's destruction of the palace was a tragedy .
1,the army destroyed the palace .
1,heidi wants to kiss herself .
0,heidi believes john 's description of herself .
0,heidi dislikes the tv 's depiction of herself .
1,heidi said that pictures of herself were embarrassing .
0,heidi said that bill 's pictures of herself were embarrassing .
0,chris said that himself was angry .
1,heidi saw peter 's picture of her .
1,heidi saw drawings of her .
1,john loves himself .
1,john loves pictures of himself .
0,john loves mary 's pictures of himself .
0,john thinks that mary 's depiction of himself is wrong .
1,john thinks that most depictions of himself are wrong .
1,john seems to like pictures of himself .
1,john believes himself to be the best at baseball .
1,john wants to congratulate himself .
0,john loves him .
1,john loves his puppy .
1,john asked if the unflattering description of his work would be published in the paper .
1,john asked if his essay would be published in the paper .
1,any owl can hunt mice .
0,john talked to any woman .
0,any woman contributed to the fund .
1,john talked to any woman who came up to him .
1,any woman who heard the news contributed to the fund .
1,any man who saw the fly in the food did n't eat dinner .
1,you may pick any flower .
0,you must pick any flower .
1,any pilot could be flying this plane .
0,any pilot must be flying this plane .
1,any student must work hard .
1,any doctor will tell you that .
1,any soldier should be prepared to die for her country .
1,john talked to a woman .
1,john did n't talk to a woman .
1,john kissed even the ugliest woman .
1,john kissed even the ugliest woman who came up to him .
1,a lion is usually majestic .
0,any lion is usually majestic .
1,a philosopher is sometimes wrong .
1,any philosopher is sometimes wrong .
1,you must pick a flower .
1,a pilot must be flying this plane .
1,a student must work hard .
1,a soldier should be prepared to die for her country .
1,rarely is any lion majestic .
1,seldom is any lion majestic .
1,never is any lion majestic .
0,"usually , any lion is majestic ."
0,"often , any lion is majestic ."
0,"always , any lion is majestic ."
1,you may pick absolutely any flower .
1,you may pick almost any flower .
1,almost any pilot could be flying this plane .
1,absolutely any pilot could be flying this plane .
1,you may pick any flower except the rose .
1,any pilot except sue could be flying this plane .
1,john talked to absolutely any woman who came up to him .
1,john talked to almost any woman who came up to him .
1,john talked to any woman who came up to him except sue .
1,john put carrots from his garden in the salad .
1,john put any carrot from his garden in the salad .
1,john talked to a woman who came up to him .
1,a woman who heard the news contributed to the fund .
1,a man who saw the fly in the food did n't eat dinner .
1,john talked to every woman who came up to him .
1,every woman who heard the news contributed to the fund .
1,every man who saw the fly in the food did n't eat dinner .
1,john talked to every woman .
1,mary regretted that she did anything to help him .
0,mary talked to any man or any woman .
1,every student who is in mary 's class is working on polarity items .
1,it happens to be true of every student in mary 's class that he is working on polarity items .
1,"every student in mary 's class , by virtue of being in her class , is working on polarity items ."
1,every student in mary 's class happened to vote republican .
1,every woman standing under that tree is mary 's friend .
1,the president thanked every soldier who had fought in the .
1,everybody who attended last week 's huge rally signed the petition .
1,"we did n't keep a list of the names , but the president thanked every soldier who had fought in the gulf war ."
0,"every student in mary 's class , whoever they were , happened to vote republican ."
0,"every woman standing under that tree , whoever she may be , is mary 's friend ."
0,any student in mary 's class happened to vote .
0,any woman standing under that tree is mary 's friend .
1,the president thanked any soldier who had fought in the gulf .
1,every restaurant that advertises in any of these papers happens to have four stars in the handbook .
1,everybody who is in mary 's semantics seminar is writing a paper on polarity items .
1,john talked to any woman at the party .
1,john talked to any politician who is powerful .
0,john talked to any powerful politician .
1,mary confidently answered any objections .
1,"after the dinner , we threw away any leftovers ."
